s2_cellid,18-25,26-35,36-45,46-55,56-65,66-75,75+
10836387463459504128,14166972.413366351,16423330.943954725,15128699.000174511,15350635.904822547,8581560.313057425,5289496.227444878,2589263.8875604295
10836387497819242496,119051247.53290448,138012412.28357595,127133055.45942019,128998088.05784689,72114593.80583248,44449943.5958364,21758713.648311526
10836387532178980864,38606189.01497196,44754955.4116124,41226974.69222853,41831771.38698006,23385472.19705873,14414321.2249112,7055961.43876772
10836426015085953024,979200.8480257998,5504919.053187059,8763436.160903167,2246401.9454709524,732343.4913806402,592457.655948383,181028.72820645038
10836426461762551808,176486185.3775437,353802312.28386307,726460259.8562293,311481585.96205956,101162946.59816325,64524299.90231265,21932293.115030207
10836426496122290176,228997889.3875483,169282077.55801043,556996550.2659934,362385391.2940069,117151681.42739391,64465411.179201305,23700090.766120598
10836426530482028544,94641882.06742379,94302994.99700972,326011645.9207567,177821303.02901244,45053600.313841745,25317397.316807866,14020560.59788877
10836426599201505280,88221610.0266664,103695565.09419844,117187839.30269916,94456517.69539832,56941653.375781566,32977036.28299313,15358009.030876856
10836426667920982016,46239556.55846213,33145168.860490553,36009566.16942184,37237165.01610667,20869180.393642202,8593191.926793847,5728794.6178625645
10836426702280720384,68491601.58086212,49095749.80575072,53338592.38155634,55156953.48547303,30912138.766583785,12728527.727416854,8485685.151611235
10836426771000197120,144539401.8444863,169498525.35886922,191104930.78923059,154597556.09655106,93503582.12104654,54016013.57590338,24959123.51438294
10836433746027085824,42168255.701415494,341976738.03790516,267899791.5412598,54596374.31378742,24978965.765512597,6851340.469109643,3721618.345064209
10836433952185516032,576538306.4732574,1350131391.6955795,1447803526.7353332,620921567.884395,221459667.0028241,106336281.72462061,51527409.71190441
10836433986545254400,230015515.82824105,556163950.1554563,548165243.7565978,227077616.36746547,90001255.35871711,38091775.914589025,17500301.329710796
10836434020904992768,435334251.3144449,1023925262.6835375,917552815.1483654,381216680.3008512,175929309.1797282,64104413.841346145,28746732.4213052
10836434055264731136,623515975.3677644,1521492040.5638943,1382235475.3201838,559828186.7712706,249238808.3054195,92616290.32453498,40533600.52139741
10836434089624469504,611869912.7292182,1504662906.47118,1422452555.8959293,578883357.760177,241416063.18953764,96005247.7578311,42791706.387077466
10836434123984207872,491844442.9416543,1150145150.5009398,1245568687.7533205,535629575.44188243,188582297.89027724,91919691.58147961,44815977.550005466
10836434158343946240,218492827.43607152,679045501.5583811,547427540.4337788,229355501.62217963,84084242.97266647,37285867.58403698,17209808.62324977
10836434192703684608,476441786.8730428,1861315248.7796316,1176227070.1908934,476586543.62813103,184523847.26208362,72448887.48562746,30852098.39328224
10836434227063422976,265594755.13639653,1117125571.7436175,656958614.3763791,264115118.6175308,102834738.06116745,39210367.74994155,16276001.707522906
10836434330142638080,25051865.222444538,105371355.11390321,61966730.6895007,24912300.513684403,9699747.2588295,3698464.7821436226,1535211.796361504
10836434501941329920,42470656.198384576,47437984.40872195,52902045.44009307,49424915.69285691,35019663.88287851,23098076.178068805,9934656.420674754
10836435051697143808,139069518.81040683,155650087.37200525,122696207.35582839,121659921.82072848,67980331.10255356,23005538.879217822,10777369.565038979
10836435086056882176,16894737.50634835,18909013.21500389,14905640.244051004,14779748.012260031,8258530.405487718,2794807.545759563,1309279.2106261016
10836435120416620544,530703793.5973648,653833320.5706092,497449017.33204424,461349556.8857588,253633650.8507587,92951127.29375792,45560992.75521083
10836435154776358912,374274609.8992634,411115530.7440317,348698608.03112507,332019836.6247231,184581023.060601,61031302.10349153,28156665.871862378
10836435292215312384,4964990.214065603,20883385.02295003,12281090.000251409,4937330.101452424,1922377.8266159298,732992.9842492394,304261.2387449673
10836435326575050752,110040.19457092143,462843.15822309576,272188.5592729199,109427.1572752617,42606.092048351195,16245.48833498283,6743.410252257024
10836435360934789120,154738675.8927716,229331764.04239592,222992102.65135092,147367000.67654568,67957880.9203639,22118601.11362257,8800487.858618196
10836435395294527488,514704193.88608813,639566351.3225309,777408269.2038734,477949234.4502665,222657638.6172281,79591193.8919623,29647357.073166013
