s2_cellid,0,1,2,3,4,5,6,7,8,9
10836387463459504128,3587979.9584765956,0.0,850758.1344841411,3809916.8631246323,3994864.283664663,6917033.528197148,14462888.2862304,22193690.464803685,6621117.655333099,147957.93643202455
10836387497819242496,30151360.341231685,0.0,7149291.627302358,32016392.939658385,33570586.77168064,58126849.31763221,121537957.66414009,186503259.8426702,55640139.18639661,1243355.0656178014
10836387532178980864,9777546.565149555,0.0,2318387.3298808224,10382343.259901075,10886340.50552734,18849496.986422338,39412584.60797398,60479669.47515189,18043101.393420313,403197.7965010126
10836426015085953024,41142.89277419327,0.0,32914.314219354615,24685.73566451596,65828.62843870923,139885.83543225712,320914.5636387075,1530515.6111999897,11273152.620128956,4435203.841058034
10836426461762551808,5147915.584210583,0.0,2492173.278613549,6076344.139169104,8198847.279184492,13191700.25333783,42120259.64556943,154176433.70237547,1000963660.4407753,338893033.80681145
10836426496122290176,5686237.678600954,0.0,1663464.3211897358,8611720.339175273,8970655.51382723,11765120.91517633,47451347.61977096,145011867.4944518,832169590.7500657,231148782.04921588
10836426530482028544,3847164.449720647,0.0,481674.9639037036,3057077.2054112726,3705779.5913040265,9447766.071558077,17642475.71943002,72285928.48078297,435604859.17125875,131098130.0128167
10836426599201505280,16601832.245794283,0.0,3004139.7300682333,22214828.307067472,38869369.70647442,40171165.93971944,84600822.55385438,113324632.02714692,91736979.1922531,11621275.521409653
10836426667920982016,4910395.386739342,0.0,818399.2311232236,9820790.773478683,12275988.466848353,17186383.853587694,35600366.553860225,52377550.79188631,9820790.773478683,409199.6155616118
10836426702280720384,7273444.415666774,0.0,1212240.7359444622,14546888.831333548,18183611.039166935,25457055.45483371,52732472.01358411,77583407.10044558,14546888.831333548,606120.3679722311
10836426771000197120,27194268.903730668,0.0,4842815.010253406,36134850.461121574,63701643.59641019,65936788.98575792,138206489.90800107,185517067.31586125,150127265.3178556,18626211.577897716
10836433746027085824,685219.1483620808,0.0,46661.46367165339,1463761.2240674682,1557084.1514107753,1759283.8273212733,12752195.814540006,93632354.84762399,526872540.71452105,59837776.50621356
10836433952185516032,5935592.07671201,0.0,3867134.2047754787,18464847.972226627,28138144.18604978,45218897.04078888,242848426.2900485,1314730590.5448678,2068869894.2959824,109218532.41867048
10836433986545254400,4028784.274149078,0.0,1014859.7582568615,6171720.3626558855,14857904.9728348,20365041.440892063,102123576.01388222,536808455.3989817,767566222.1983017,39812500.47400187
10836434020904992768,14319901.340108078,0.0,1354634.7212502803,16255616.655003365,43023861.864977665,53903711.53141552,216136971.8611163,995558274.3436903,1218209671.4353786,61566231.98458805
10836434055264731136,16736898.081116138,0.0,1648997.8185857183,17035431.140353248,53120351.7481039,66208551.55070099,296005058.5047146,1464737028.5758085,1877506576.9517434,95409173.68024161
10836434089624469504,12807015.822476598,0.0,2069940.036724227,15003575.4694154,43905959.19880702,57094219.02439517,278286552.62444514,1445397731.5723622,1972415289.0276709,101364348.64393991
10836434123984207872,4600589.227594449,0.0,3444162.854531561,16089504.16425202,22977829.873315144,37902535.57628524,205635670.39855438,1118111702.2686682,1786240416.7007341,94927427.64978525
10836434158343946240,5480500.199773707,0.0,1905370.9909450011,8471730.498908047,9762467.727786303,21463081.850997362,103691116.93943846,605039300.3310351,813921357.0344557,42168121.723983824
10836434192703684608,19957969.451935902,0.0,4868352.669413825,21151429.05253348,21099144.415344108,57573927.125009194,254621030.73247063,1562718910.350387,1812320080.3623977,91799823.05171828
10836434227063422976,12576910.41035861,0.0,2959273.0377314375,12576910.41035861,11097273.89149289,34031639.93391153,147223833.627139,921813551.2533427,1028347380.6116745,51787278.16030016
10836434330142638080,1186300.024461162,0.0,279129.4175202734,1186300.024461162,1046735.3157010253,3209988.3014831445,13886688.521633603,86948813.55756517,96997472.58829501,4884764.806604785
10836434501941329920,5215694.620854246,0.0,2235297.6946518198,13660152.578427788,14156885.399461526,22352976.946518198,34771297.47236164,86431510.85987036,36261495.935462855,1986931.284134951
10836435051697143808,16787825.66861841,0.0,10155598.243979039,22176510.4511379,34611936.87233672,44145763.79525582,142800146.7367665,200210365.38130105,26943423.912597448,414514.21403996076
10836435086056882176,2039454.1550137352,0.0,1233743.8715515188,2694093.760326786,4204800.541818442,5363009.074295377,17347949.540795848,24322379.182015657,3273198.026565254,50356.892716388524
10836435120416620544,62242312.91977911,0.0,36273123.080229886,84556535.17956579,127634048.62665337,164411058.50609562,537627653.9822235,843190873.3767344,134418543.07205117,2099062.5269117793
10836435154776358912,42336942.90682503,0.0,24802045.85291199,57826814.44951349,88096468.56528807,117031186.13944042,378936776.58240783,567737760.6053635,83095512.1404714,1172645.120584634
10836435292215312384,235110.9572120202,0.0,55320.225226357696,235110.9572120202,207450.84459884136,636182.5901031136,2752181.205011295,17232250.158010423,19223778.2661593,968103.9414612597
10836435326575050752,5210.8170131077,0.0,1226.074591319459,5210.8170131077,4597.779717447971,14099.857800173777,60997.21091814308,381922.23519601143,426060.920483512,21456.305348090533
10836435360934789120,10637328.37226855,0.0,3474672.742594359,11866417.63696551,22898902.206690937,40285137.59346395,141984693.2143943,394917502.98697674,79866276.60990128,1027220.608034783
10836435395294527488,26701148.139214758,0.0,7819507.361176989,35383983.856378675,60700228.165184304,101394483.90976588,396575003.4537544,1170593606.116947,445944781.83472306,6253872.739565793
10836435464014004224,3495673.891139785,0.0,582612.3151899641,6991347.78227957,8739184.727849461,12234858.618989248,25343635.71076344,37287188.172157705,6991347.78227957,291306.15759498207
10836435498373742592,16057130.441682143,0.0,2638384.1221863115,31585000.896714315,39588363.26104824,55620290.84622325,116546510.69885802,181949467.7753839,48823754.74759899,2012270.6150395428
10836435532733480960,27552743.215482734,0.0,2642853.149106414,27815696.34899555,40292554.14330978,66545783.54536537,206579835.83274227,844240027.6182091,916683144.7331585,37058056.443799525
10836435567093219328,11938250.121538864,0.0,2466205.321536657,11254152.447544606,18745352.36746887,41518526.22301999,147494819.8540034,521310339.91995627,312262449.99123317,9662933.796355674
10836435601452957696,39830370.37000022,0.0,13762664.478861038,54946290.087678544,100632230.88610002,146715415.892736,520418231.06708133,1775544945.2659926,1166719034.419724,35608686.74880921
10836435635812696064,36913471.301424295,0.0,11224362.512522912,39873913.76914777,58902513.48399145,104768379.64032966,407138617.17962164,1557951984.1728637,1361866881.2101936,59565874.01628554
10836435670172434432,61762772.95983641,0.0,12990327.232828436,58245499.26358832,109579773.83923528,176913978.54754272,505751783.4467312,1424583496.1200812,1061675011.2948585,49462984.90018464
10836435704532172800,78802617.67075914,0.0,26342615.311530367,109314098.29861404,155357498.8993317,256511774.52417362,680136965.8346908,1467046955.5266216,757269169.3389021,26726225.10634239
10836435738891911168,88585959.3570041,0.0,38120848.03519575,136496282.2484429,192303697.0542956,252469795.19750708,823197175.342219,1619030917.7701607,363661587.2464452,5812760.687167712
10836435773251649536,57813798.218413785,0.0,20734198.041704528,73365555.45728205,111700975.07584435,175266206.9434851,677970131.558683,1906431396.141712,612697576.6798885,9113877.887245882
10836435807611387904,62500601.230379716,0.0,26428283.93610422,85684365.99289005,133419224.81874181,190686257.37704608,631679030.0283644,1131193916.4638267,205228968.65932167,2063428.829155007
10836435841971126272,76884597.4780348,0.0,34570857.21969772,118911574.51827511,152657150.79899547,206978047.38698912,715013047.6589746,1690988032.5875478,389659025.52539945,6185065.573433427
10836435876330864640,55280257.71859724,0.0,18365353.111119777,66976968.159240305,85712770.22022524,126129770.44438359,446308345.0888868,1093461955.4378886,292486033.08937836,4935068.906998581
10836435910690603008,45881039.219200775,0.0,18826022.804089934,68766847.6318819,89744224.0827007,155601956.27994043,625152334.9730161,2246530338.0278077,1089210019.9695377,20706382.662554774
10836435945050341376,85027295.0087497,0.0,19116315.464910127,71462679.73747522,97635909.51287131,163922830.0156352,598605999.9054116,1521874351.2317128,538090601.4678423,10600171.059163922
10836435979410079744,75032848.68195327,0.0,32835642.651642833,117059912.1672422,146214601.64373517,201032468.61373246,700132652.6757505,1738885777.603383,413655946.49515253,6647114.8114632815
10836436013769818112,81015540.32290153,0.0,34600610.32074887,118921275.90669626,173303540.00177363,254856839.12012982,943134306.6202322,2145904927.1159663,1643154762.022042,119033031.93047413
10836436048129556480,68702534.15346685,0.0,9444777.818788024,59658006.01088893,90838365.03696048,145529146.34989455,500061316.1331811,1344061083.8572288,1275940442.1361332,100059801.96030836
10836436082489294848,57436745.01808985,0.0,9822949.395103501,48880333.05492707,65557199.45160234,108848804.39905311,330467423.2140418,909731936.5791233,1640014086.6856456,157084291.5861664
10836436116849033216,88940458.45786382,0.0,30597427.727551308,109471170.73938403,161300653.8705841,252092876.3916501,908338511.1807821,1985338858.3526149,1624612596.9943042,119550629.0982496
10836436151208771584,102394043.02850403,0.0,22803396.18093071,116360798.56712683,154223567.41025883,260921150.95500398,722750332.07417,1284548926.7205536,320054765.31232506,6251930.546147475
10836436185568509952,89098417.81388131,0.0,26718924.53280182,125673325.77069417,179757068.70388377,288906702.91381764,679090475.499775,1236197915.6024528,322551393.1423274,7382979.0853406135
10836436219928248320,67256358.69042619,0.0,23972581.669842977,107731709.46555872,145629413.0056503,224221123.30172205,528713777.8400166,999961517.2284074,282188229.5532134,7521943.6756093195
10836436254287986688,99427240.68097208,0.0,30515315.38555084,145076365.6322944,191535019.92964584,281614356.3442338,731110848.0296601,1105188423.0259218,218343214.24509966,4013975.74990073
10836436288647725056,92605905.89543185,0.0,33501032.311106633,152088129.94268852,208595528.89075378,315316349.4106133,813331319.0636903,1304371572.6419206,271922874.7123144,4405152.094098765
10836436323007463424,73215994.96390867,0.0,24959735.533275913,93934120.79396522,146608867.97152555,250261015.00525206,802038904.4041041,1572197462.9653752,406411055.6347218,9128972.629635323
10836436357367201792,36366936.496244065,0.0,17197928.87496692,59209384.083178945,82418435.8012636,150794222.61294964,491826905.92006516,1097916360.5066886,459755423.65259975,14969067.245666564
10836436391726940160,78299256.27565919,0.0,25903499.992199305,126004515.027356,171927282.06817693,266869326.116538,728636315.3686209,1218505182.3548625,290988172.6011701,6029772.335491857
10836436426086678528,81828356.28002304,0.0,27501655.575024407,155383451.12310442,210516788.8219622,338004423.53415024,997207595.1503555,1577153754.6494036,428097465.1134517,8213477.7632557675
10836436460446416896,31007493.424389616,0.0,9686314.909531921,58809685.907736145,76506524.87337111,128344293.05134067,379557733.20427716,757332627.1873504,367509783.99426544,9273041.324311541
